date,portfolio_value,capital,withdrawn,total_value,cot_stance,cot_composite,peak,drawdown,returns
2020-01-02,99918.80099868774,50000.0,0.0,99918.80099868774,INVESTED,1.706373820484373,99918.80099868774,0.0,
2020-01-03,99410.10526657104,50000.0,0.0,99410.10526657104,INVESTED,1.706373820484373,99918.80099868774,-0.5091091236406831,-0.005091091236406831
2020-01-06,99541.29924583435,50000.0,0.0,99541.29924583435,INVESTED,1.706373820484373,99918.80099868774,-0.37780852960630495,0.001319724779603737
2020-01-07,99394.44703102112,50000.0,0.0,99394.44703102112,INVESTED,1.6180608000729275,99918.80099868774,-0.5247800838538041,-0.001475289311329564
2020-01-08,99785.32881736755,50000.0,0.0,99785.32881736755,INVESTED,1.6180608000729275,99918.80099868774,-0.13358064747188703,0.003932632033502248
2020-01-09,100072.92608451843,50071.461000442505,157.15290069580078,100230.07898521423,INVESTED,1.6180608000729275,100230.07898521423,0.0,0.0044570697227512834
2020-01-10,100012.1112575531,50071.461000442505,157.15290069580078,100169.2641582489,INVESTED,1.6180608000729275,100230.07898521423,-0.06067522602102304,-0.0006067522602102304
2020-01-13,100477.65654563904,50071.461000442505,157.15290069580078,100634.80944633484,INVESTED,1.6180608000729275,100634.80944633484,0.0,0.004647586183227359
2020-01-14,100405.65524482727,50071.461000442505,157.15290069580078,100562.80814552307,INVESTED,2.1052275259593047,100634.80944633484,-0.07154711297998606,-0.0007154711297998606
2020-01-15,100742.68053245544,50071.461000442505,157.15290069580078,100899.83343315125,INVESTED,2.1052275259593047,100899.83343315125,0.0,0.003351390974886792
2020-01-16,101112.64292526245,50636.95323562622,722.6451358795166,101835.28806114197,INVESTED,2.1052275259593047,101835.28806114197,0.0,0.009271121627871581
2020-01-17,101363.88304519653,50636.95323562622,722.6451358795166,102086.52818107605,INVESTED,2.1052275259593047,102086.52818107605,0.0,0.002467122396543342
2020-01-21,101682.26051712036,50636.95323562622,722.6451358795166,102404.90565299988,INVESTED,1.5976729915038392,102404.90565299988,0.0,0.0031187021206080523
2020-01-22,101660.13412857056,50636.95323562622,722.6451358795166,102382.77926445007,INVESTED,1.5976729915038392,102404.90565299988,-0.021606766207837858,-0.00021606766207837858
2020-01-23,102054.48511886597,50636.95323562622,722.6451358795166,102777.13025474548,INVESTED,1.5976729915038392,102777.13025474548,0.0,0.003851731640111211
2020-01-24,102059.91509628296,51077.90636444092,1163.5982646942139,103223.51336097717,INVESTED,1.5976729915038392,103223.51336097717,0.0,0.004343214342775292
2020-01-27,101541.4502029419,51077.90636444092,1163.5982646942139,102705.04846763611,INVESTED,1.5976729915038392,103223.51336097717,-0.5022740230977929,-0.005022740230977929
2020-01-28,101970.47619247437,51077.90636444092,1163.5982646942139,103134.07445716858,INVESTED,0.901870661296293,103223.51336097717,-0.08664586284311548,0.004177262909015322
2020-01-29,101969.47780227661,51077.90636444092,1163.5982646942139,103133.07606697083,INVESTED,0.901870661296293,103223.51336097717,-0.08761307483313718,-9.680507659703963e-06
2020-01-30,102313.2590675354,51077.90636444092,1163.5982646942139,103476.85733222961,INVESTED,0.901870661296293,103476.85733222961,0.0,0.0033333754637121515
2020-01-31,100830.07572937012,50466.26988983154,1240.7503719329834,102070.8261013031,INVESTED,0.901870661296293,103476.85733222961,-1.358788106998865,-0.01358788106998865
2020-02-03,100900.68789291382,50466.26988983154,1240.7503719329834,102141.4382648468,INVESTED,0.901870661296293,103476.85733222961,-1.2905485359834934,0.0006917957485090831
2020-02-04,101052.53510665894,50466.26988983154,1240.7503719329834,102293.28547859192,INVESTED,0.1205108377985828,103476.85733222961,-1.1438034398722041,0.0014866367296628713
