entry_date,exit_date,ticker,entry_price,exit_price,shares,pnl,return_pct,exit_reason
2020-01-31,2020-02-05,XLU,57.611324310302734,57.45262908935547,21,-3.332599639892578,-0.2754583805303801,REBALANCE
2020-01-31,2020-02-05,XLK,90.67838287353516,94.83513641357422,13,54.03779602050781,4.584062274066225,REBALANCE
2020-01-31,2020-02-05,XLRE,32.3984489440918,32.82790756225586,38,16.319427490234375,1.3255530192360698,REBALANCE
2020-01-31,2020-02-05,XLP,54.317527770996094,55.08268356323242,23,17.598583221435547,1.4086719768658051,REBALANCE
2020-01-31,2020-02-05,XLY,119.27763366699219,122.93246459960938,10,36.548309326171875,3.064137693090907,REBALANCE
2020-01-31,2020-02-05,XLC,51.049400329589844,52.280418395996094,24,29.54443359375,2.4114251263647413,REBALANCE
2020-01-31,2020-02-05,XLF,26.87741470336914,27.873207092285156,46,45.80644989013672,3.704941118429783,REBALANCE
2020-01-31,2020-02-05,XLI,73.88896942138672,76.51258087158203,16,41.977783203125,3.5507484686014834,REBALANCE
2020-02-05,2020-02-10,XLU,57.45262908935547,57.502742767333984,22,1.1025009155273438,0.08722608307545343,REBALANCE
2020-02-05,2020-02-10,XLK,94.83513641357422,96.10977935791016,13,16.570358276367188,1.344061908423111,REBALANCE
2020-02-05,2020-02-10,XLB,54.3043327331543,53.47627258300781,23,-19.04538345336914,-1.5248509805202537,REBALANCE
2020-02-05,2020-02-10,XLRE,32.82790756225586,33.364707946777344,38,20.398414611816406,1.635195248139043,REBALANCE
2020-02-05,2020-02-10,XLY,122.93246459960938,123.5035629272461,10,5.7109832763671875,0.4645626600725761,REBALANCE
2020-02-05,2020-02-10,XLP,55.08268356323242,55.4781494140625,23,9.095714569091797,0.7179494992761271,REBALANCE
2020-02-05,2020-02-10,XLV,94.56583404541016,94.41088104248047,13,-2.0143890380859375,-0.16385727942216377,REBALANCE
2020-02-05,2020-02-10,XLF,27.873207092285156,27.81938362121582,45,-2.422056198120117,-0.19310110562854588,REBALANCE
2020-02-10,2020-02-18,XLK,96.10977935791016,96.6234130859375,13,6.677238464355469,0.5344240008236634,REBALANCE
2020-02-10,2020-02-18,XLU,57.502742767333984,59.281700134277344,22,39.137062072753906,3.0936913290229073,REBALANCE
2020-02-10,2020-02-18,XLRE,33.364707946777344,34.5539436340332,38,45.190956115722656,3.564352156634798,REBALANCE
2020-02-10,2020-02-18,XLP,55.4781494140625,55.50394058227539,23,0.5931968688964844,0.0464888762247595,REBALANCE
2020-02-10,2020-02-18,XLY,123.5035629272461,125.33099365234375,10,18.274307250976562,1.4796583044119682,REBALANCE
2020-02-10,2020-02-18,XLV,94.41088104248047,94.38355255126953,13,-0.3552703857421875,-0.02894633638536037,REBALANCE
2020-02-10,2020-02-18,XLC,53.208412170410156,54.27845001220703,24,25.680908203125,2.011031335364555,REBALANCE
2020-02-10,2020-02-18,XLI,76.63099670410156,76.66744232177734,16,0.5831298828125,0.047559889918313836,REBALANCE
2020-02-18,2020-02-24,XLK,96.6234130859375,90.67838287353516,13,-77.28539276123047,-6.152784322692884,STOP_LOSS
2020-02-18,2020-02-24,XLY,125.33099365234375,119.7535171508789,10,-55.77476501464844,-4.4501973046956245,STOP_LOSS
2020-02-18,2020-02-24,XLC,54.27845001220703,51.361881256103516,23,-67.08108139038086,-5.3733456932679395,STOP_LOSS
2020-02-18,2020-02-24,XLI,76.66744232177734,73.98007202148438,16,-42.9979248046875,-3.5052301458211366,STOP_LOSS
2020-02-18,2020-02-24,XLF,27.720699310302734,26.706960678100586,46,-46.63197708129883,-3.656973515907591,STOP_LOSS
2020-02-18,2020-02-24,XLU,59.281700134277344,58.0539665222168,21,-25.782405853271484,-2.071016197713027,REBALANCE
2020-02-18,2020-02-24,XLRE,34.5539436340332,34.165794372558594,37,-14.361522674560547,-1.1233139278849502,REBALANCE
2020-02-18,2020-02-24,XLP,55.50394058227539,54.300331115722656,23,-27.68301773071289,-2.168511737952339,REBALANCE
2020-02-24,2020-02-25,XLB,52.2119255065918,49.95927810668945,24,-54.06353759765625,-4.314430808758329,STOP_LOSS
2020-02-24,2020-02-25,XLF,26.706960678100586,25.800880432128906,47,-42.585771560668945,-3.392674504945281,STOP_LOSS
2020-02-24,2020-02-25,XLK,90.67838287353516,87.77721405029297,13,-37.71519470214844,-3.199405118735199,STOP_LOSS
2020-02-24,2020-02-25,XLI,73.98007202148438,70.96475219726562,16,-48.2451171875,-4.075854134533796,STOP_LOSS
2020-02-24,2020-02-26,XLRE,34.165794372558594,33.017845153808594,36,-41.326171875,-3.359937153025816,STOP_LOSS
2020-02-24,2020-02-26,XLU,58.0539665222168,56.25830841064453,21,-37.70882034301758,-3.093084278548097,STOP_LOSS
2020-02-24,2020-02-26,XLY,119.7535171508789,115.6323013305664,10,-41.212158203125,-3.441415265591019,STOP_LOSS
2020-02-24,2020-02-27,XLP,54.300331115722656,50.861419677734375,23,-79.09496307373047,-6.33313161693142,STOP_LOSS
2020-03-02,2020-03-03,XLK,88.91864776611328,85.54188537597656,13,-43.897911071777344,-3.797586304977074,STOP_LOSS
2020-03-02,2020-03-03,XLC,49.733158111572266,48.094947814941406,24,-39.317047119140625,-3.2940001376057126,STOP_LOSS
2020-03-02,2020-03-06,XLY,114.03329467773438,109.12210083007812,10,-49.1119384765625,-4.306806938741536,STOP_LOSS
2020-03-02,2020-03-09,XLV,88.35924530029297,83.93901062011719,13,-57.463050842285156,-5.002571791048471,STOP_LOSS
