date,portfolio_value,capital,withdrawn,total_value,cot_stance,cot_composite,peak,drawdown,returns
2020-01-02,99918.81016540527,50000.0,0.0,99918.81016540527,NEUTRAL,0,99918.81016540527,0.0,
2020-01-03,99410.10383987427,50000.0,0.0,99410.10383987427,NEUTRAL,0,99918.81016540527,-0.509119678956238,-0.00509119678956238
2020-01-06,99541.29982185364,50000.0,0.0,99541.29982185364,NEUTRAL,0,99918.81016540527,-0.3778170926242108,0.0013197449445450093
2020-01-07,99394.44618034363,50000.0,0.0,99394.44618034363,NEUTRAL,0,99918.81016540527,-0.5247900612443401,-0.0014753036355044102
2020-01-08,99785.32653999329,50000.0,0.0,99785.32653999329,NEUTRAL,0,99918.81016540527,-0.13359208860775906,0.003932617713271691
2020-01-09,100072.91841888428,50071.45573425293,157.14877319335938,100230.06719207764,NEUTRAL,0,100230.06719207764,0.0,0.004456974462133001
2020-01-10,100012.11124038696,50071.45573425293,157.14877319335938,100169.26001358032,NEUTRAL,0,100230.06719207764,-0.06066760224832102,-0.0006066760224832102
2020-01-13,100477.64721679688,50071.45573425293,157.14877319335938,100634.79598999023,NEUTRAL,0,100634.79598999023,0.0,0.004647493416111814
2020-01-14,100405.65497589111,50071.45573425293,157.14877319335938,100562.80374908447,NEUTRAL,0,100634.79598999023,-0.07153811979001556,-0.0007153811979001556
2020-01-15,100742.68184661865,50071.45573425293,157.14877319335938,100899.83061981201,NEUTRAL,0,100899.83061981201,0.0,0.003351406863798756
2020-01-16,101112.64258956909,50636.95067977905,722.6437187194824,101835.28630828857,NEUTRAL,0,101835.28630828857,0.0,0.009271132396657222
2020-01-17,101363.88293075562,50636.95067977905,722.6437187194824,102086.5266494751,NEUTRAL,0,102086.5266494751,0.0,0.0024671246116589884
2020-01-21,101682.2532157898,50636.95067977905,722.6437187194824,102404.89693450928,NEUTRAL,0,102404.89693450928,0.0,0.0031186317674156694
2020-01-22,101660.12785720825,50636.95067977905,722.6437187194824,102382.77157592773,NEUTRAL,0,102404.89693450928,-0.02160576226710731,-0.0002160576226710731
2020-01-23,102054.4688911438,50636.95067977905,722.6437187194824,102777.11260986328,NEUTRAL,0,102777.11260986328,0.0,0.003851634682922267
2020-01-24,102059.89019012451,51077.895568847656,1163.588607788086,103223.4787979126,NEUTRAL,0,103223.4787979126,0.0,0.004343050478015531
2020-01-27,101541.43547821045,51077.895568847656,1163.588607788086,102705.02408599854,NEUTRAL,0,103223.4787979126,-0.5022643277980188,-0.005022643277980188
2020-01-28,101970.46482849121,51077.895568847656,1163.588607788086,103134.0534362793,NEUTRAL,0,103223.4787979126,-0.08663277257723312,0.004177296623011584
2020-01-29,101969.4690208435,51077.895568847656,1163.588607788086,103133.05762863159,NEUTRAL,0,103223.4787979126,-0.08759748298934333,-9.655468921510035e-06
2020-01-30,102313.25385665894,51077.895568847656,1163.588607788086,103476.84246444702,NEUTRAL,0,103476.84246444702,0.0,0.0033334106805342767
2020-01-31,100830.07641601562,50466.2695350647,1240.745262145996,102070.82167816162,NEUTRAL,0,103476.84246444702,-1.358778208533462,-0.013587782085334621
2020-02-03,100900.68041992188,50466.2695350647,1240.745262145996,102141.42568206787,NEUTRAL,0,103476.84246444702,-1.2905465131852867,0.0006917158375472354
2020-02-04,101052.53509521484,50466.2695350647,1240.745262145996,102293.28035736084,NEUTRAL,0,103476.84246444702,-1.1437941851509814,0.0014867099639439552
2020-02-05,101243.2166671753,50466.2695350647,1240.745262145996,102483.96192932129,NEUTRAL,0,103476.84246444702,-0.9595195518909194,0.0018640674274430502
