date,portfolio_value,capital,withdrawn,total_value,cot_stance,cot_composite,peak,drawdown,returns
2020-01-02,99918.80366897583,50000.0,0.0,99918.80366897583,INVESTED,1.706373820484373,99918.80366897583,0.0,
2020-01-03,99410.11205101013,50000.0,0.0,99410.11205101013,INVESTED,1.706373820484373,99918.80366897583,-0.5091049925406987,-0.005091049925406987
2020-01-06,99541.29924583435,50000.0,0.0,99541.29924583435,INVESTED,1.706373820484373,99918.80366897583,-0.37781119196755863,0.0013196564425650426
2020-01-07,99394.44218826294,50000.0,0.0,99394.44218826294,INVESTED,1.6180608000729275,99918.80366897583,-0.5247875889808129,-0.0014753379620726648
2020-01-08,99785.325963974,50000.0,0.0,99785.325963974,INVESTED,1.6180608000729275,99918.80366897583,-0.1335861720723086,0.00393265223995809
2020-01-09,100072.9211177826,50071.46060752869,157.15023040771484,100230.07134819031,INVESTED,1.6180608000729275,100230.07134819031,0.0,0.00445702191098607
2020-01-10,100012.12249565125,50071.46060752869,157.15023040771484,100169.27272605896,INVESTED,1.6180608000729275,100230.07134819031,-0.06065906300728452,-0.0006065906300728452
2020-01-13,100477.6531047821,50071.46060752869,157.15023040771484,100634.80333518982,INVESTED,1.6180608000729275,100634.80333518982,0.0,0.004647439244207963
2020-01-14,100405.6536655426,50071.46060752869,157.15023040771484,100562.80389595032,INVESTED,2.1052275259593047,100634.80333518982,-0.07154526749527657,-0.0007154526749527657
2020-01-15,100742.68793296814,50071.46060752869,157.15023040771484,100899.83816337585,INVESTED,2.1052275259593047,100899.83816337585,0.0,0.003351480411925012
2020-01-16,101112.64393997192,50636.95655441284,722.6461772918701,101835.2901172638,INVESTED,2.1052275259593047,101835.2901172638,0.0,0.009271094690689763
2020-01-17,101363.88752365112,50636.95655441284,722.6461772918701,102086.533700943,INVESTED,2.1052275259593047,102086.533700943,0.0,0.0024671563599405477
2020-01-21,101682.26418685913,50636.95655441284,722.6461772918701,102404.910364151,INVESTED,1.5976729915038392,102404.910364151,0.0,0.0031186940301124455
2020-01-22,101660.14010238647,50636.95655441284,722.6461772918701,102382.78627967834,INVESTED,1.5976729915038392,102404.910364151,-0.021604515246376188,-0.00021604515246376188
2020-01-23,102054.4803352356,50636.95655441284,722.6461772918701,102777.12651252747,INVESTED,1.5976729915038392,102777.12651252747,0.0,0.00385162630534297
2020-01-24,102059.90899658203,51077.90729522705,1163.596918106079,103223.50591468811,INVESTED,1.5976729915038392,103223.50591468811,0.0,0.004343178461077457
2020-01-27,101541.4534072876,51077.90729522705,1163.596918106079,102705.05032539368,INVESTED,1.5976729915038392,103223.50591468811,-0.502265045834549,-0.00502265045834549
2020-01-28,101970.4751586914,51077.90729522705,1163.596918106079,103134.07207679749,INVESTED,0.901870661296293,103223.50591468811,-0.08664096137612765,0.004177221568409495
2020-01-29,101969.48467636108,51077.90729522705,1163.596918106079,103133.08159446716,INVESTED,0.901870661296293,103223.50591468811,-0.08760051251861523,-9.603832277549351e-06
2020-01-30,102313.25436401367,51077.90729522705,1163.596918106079,103476.85128211975,INVESTED,0.901870661296293,103476.85128211975,0.0,0.0033332630261582175
2020-01-31,100830.08407974243,50466.27366256714,1240.751298904419,102070.83537864685,INVESTED,0.901870661296293,103476.85128211975,-1.3587733739979457,-0.013587733739979457
2020-02-03,100900.68919372559,50466.27366256714,1240.751298904419,102141.44049263,INVESTED,0.901870661296293,103476.85128211975,-1.290540611686064,0.0006917266202557393
2020-02-04,101052.5428276062,50466.27366256714,1240.751298904419,102293.29412651062,INVESTED,0.1205108377985828,103476.85128211975,-1.1437893025777135,0.0014866995525832927
