date,equity,cash,positions,market_mode,daily_return,cummax,drawdown
2020-01-31,10000.0,294.352481842041,8,NEUTRAL,,10000.0,0.0
2020-02-03,10051.938915252686,294.352481842041,8,NEUTRAL,0.005193891525268501,10051.938915252686,0.0
2020-02-04,10163.754669189453,294.352481842041,8,NEUTRAL,0.01112379958528198,10163.754669189453,0.0
2020-02-05,10238.500183105469,265.3488998413086,8,NEUTRAL,0.007354124174464793,10238.500183105469,0.0
2020-02-06,10253.707094192505,265.3488998413086,8,NEUTRAL,0.0014852674527592313,10253.707094192505,0.0
2020-02-07,10203.314086914062,265.3488998413086,8,NEUTRAL,-0.0049146134969062505,10253.707094192505,-0.49146134969062505
2020-02-10,10267.896326065063,244.07759284973145,8,NEUTRAL,0.006329535541185427,10267.896326065063,0.0
2020-02-11,10299.2715549469,244.07759284973145,8,NEUTRAL,0.0030556628042872624,10299.2715549469,0.0
2020-02-12,10363.635000228882,244.07759284973145,8,NEUTRAL,0.006249320152265314,10363.635000228882,0.0
2020-02-13,10375.040205001831,244.07759284973145,8,NEUTRAL,0.0011005023597123742,10375.040205001831,0.0
2020-02-14,10406.178594589233,244.07759284973145,8,NEUTRAL,0.003001278932142304,10406.178594589233,0.0
2020-02-18,10403.677854537964,344.02570152282715,8,NEUTRAL,-0.00024031300525340082,10406.178594589233,-0.024031300525340082
2020-02-19,10406.055067062378,344.02570152282715,8,NEUTRAL,0.00022849732158691793,10406.178594589233,-0.0011870594544660662
2020-02-20,10395.654745101929,344.02570152282715,8,NEUTRAL,-0.0009994490605156336,10406.178594589233,-0.10113077910056667
2020-02-21,10317.40220451355,344.02570152282715,8,NEUTRAL,-0.007527427805857911,10406.178594589233,-0.8531123050477318
2020-02-24,10046.079767227173,279.7215919494629,8,NEUTRAL,-0.02629755358065633,10406.178594589233,-3.46043289656105
2020-02-25,9752.421245574951,4967.925464630127,4,NEUTRAL,-0.02923115568026935,10406.178594589233,-6.282396011867486
2020-02-26,9713.760124206543,8494.315380096436,1,NEUTRAL,-0.003964258761479433,10406.178594589233,-6.653916844582297
2020-02-27,9664.128032684326,9664.128032684326,0,NEUTRAL,-0.005109462338742987,10406.178594589233,-7.130865140934073
2020-02-28,9664.128032684326,9664.128032684326,0,NEUTRAL,0.0,10406.178594589233,-7.130865140934073
2020-03-02,9664.128032684326,307.86693954467773,8,NEUTRAL,0.0,10406.178594589233,-7.130865140934073
2020-03-03,9482.964916229248,2574.190196990967,6,NEUTRAL,-0.018745935054086615,10406.178594589233,-8.871783911531338
2020-03-04,9803.367668151855,2574.190196990967,6,NEUTRAL,0.03378719153271015,10406.178594589233,-5.79281742051605
2020-03-05,9624.255470275879,2574.190196990967,6,NEUTRAL,-0.018270476425958915,10406.178594589233,-7.51402752899053
2020-03-06,9530.691959381104,3665.411205291748,5,NEUTRAL,-0.009721636253707366,10406.178594589233,-8.413142511924077
2020-03-09,9163.674110412598,9163.674110412598,0,RISK_OFF,-0.03850904535921429,10406.178594589233,-11.940064961240282
2020-03-10,9163.674110412598,9163.674110412598,0,RISK_OFF,0.0,10406.178594589233,-11.940064961240282
2020-03-11,9163.674110412598,9163.674110412598,0,RISK_OFF,0.0,10406.178594589233,-11.940064961240282
2020-03-12,9163.674110412598,9163.674110412598,0,RISK_OFF,0.0,10406.178594589233,-11.940064961240282
2020-03-13,9163.674110412598,9163.674110412598,0,RISK_OFF,0.0,10406.178594589233,-11.940064961240282
2020-03-16,9163.674110412598,9163.674110412598,0,RISK_OFF,0.0,10406.178594589233,-11.940064961240282
2020-03-17,9163.674110412598,9163.674110412598,0,RISK_OFF,0.0,10406.178594589233,-11.940064961240282
2020-03-18,9163.674110412598,9163.674110412598,0,RISK_OFF,0.0,10406.178594589233,-11.940064961240282
2020-03-19,9163.674110412598,9163.674110412598,0,RISK_OFF,0.0,10406.178594589233,-11.940064961240282
