entry_date,exit_date,ticker,entry_price,exit_price,shares,pnl,return_pct,exit_reason
2020-01-02,2020-01-09,XLK,88.8330307006836,89.95547485351562,187,209.89705657958984,1.2635436886241358,REBALANCE
2020-01-02,2020-01-09,XLF,27.882173538208008,27.73863983154297,597,-85.68962287902832,-0.5147866484237706,REBALANCE
2020-01-02,2020-01-09,XLV,93.08024597167969,93.6635513305664,179,104.41165924072266,0.6266693354723074,REBALANCE
2020-01-09,2020-01-16,XLC,52.4413948059082,53.25575256347656,318,258.9657669067383,1.5528911093657838,REBALANCE
2020-01-09,2020-01-16,XLK,89.95547485351562,91.76275634765625,185,334.3470764160156,2.0090844910591876,REBALANCE
2020-01-09,2020-01-16,XLU,53.64417266845703,55.37301254272461,311,537.6692008972168,3.222791569463679,REBALANCE
2020-01-16,2020-01-24,XLRE,32.65446853637695,33.02610778808594,516,191.76585388183594,1.1380961576360704,REBALANCE
2020-01-16,2020-01-24,XLU,55.37301254272461,57.09351348876953,304,523.0322875976562,3.107110968032334,REBALANCE
2020-01-16,2020-01-24,XLK,91.76275634765625,92.67591857910156,183,167.1086883544922,0.995133829661432,REBALANCE
2020-01-24,2020-01-31,XLU,57.09351348876953,57.61133575439453,298,154.31103515625,0.9069721479426196,REBALANCE
2020-01-24,2020-01-31,XLRE,33.02610778808594,32.39844512939453,515,-323.2462692260742,-1.9005044818446115,REBALANCE
2020-01-24,2020-01-31,XLK,92.67591857910156,90.67839050292969,183,-365.5476379394531,-2.1553906417090762,REBALANCE
2020-01-31,2020-02-07,XLU,57.61133575439453,57.28559494018555,291,-94.79057693481445,-0.5654109732807888,REBALANCE
2020-01-31,2020-02-07,XLP,54.317527770996094,55.24603271484375,309,286.9080276489258,1.7094020695534118,REBALANCE
2020-01-31,2020-02-07,XLRE,32.39844512939453,32.98480987548828,519,304.32330322265625,1.8098545894776663,REBALANCE
2020-02-07,2020-02-14,XLK,94.82564544677734,96.98485565185547,178,384.33941650390625,2.2770319093583513,REBALANCE
2020-02-07,2020-02-14,XLB,53.50298309326172,53.87694549560547,315,117.79815673828125,0.6989561716435277,REBALANCE
2020-02-07,2020-02-14,XLV,93.90960693359375,94.72076416015625,179,145.1971435546875,0.8637638395569969,REBALANCE
2020-02-14,2020-02-24,XLRE,34.58698654174805,34.16578674316406,491,-206.80910110473633,-1.2177984863630087,REBALANCE
2020-02-14,2020-02-24,XLU,58.7889518737793,58.053977966308594,289,-212.4074592590332,-1.2501905273778369,REBALANCE
2020-02-14,2020-02-24,XLK,96.98485565185547,90.67839050292969,175,-1103.6314010620117,-6.502525684591387,REBALANCE
2020-02-24,2020-02-27,XLRE,34.16578674316406,31.15140724182129,482,-1452.9309196472168,-8.822801371450616,STOP_LOSS
2020-02-24,2020-02-27,XLU,58.053977966308594,53.72768783569336,284,-1228.6663970947266,-7.452185504197462,STOP_LOSS
