ticker,total_trades,winning_trades,losing_trades,win_rate,avg_win,avg_loss,avg_win_pct,avg_loss_pct,profit_factor,total_return,max_drawdown,sharpe_ratio,avg_holding_days,best_trade,worst_trade,strategy
QQQ,40,29,11,72.5,604.3929071215669,-472.74804622095775,4.271847636365025,-3.529027384810846,3.3705046380385557,123.4951531340831,-15.078183082064465,1.0930274181259074,28.45,10.16486930734375,-7.839716781185501,"Trend Following (Buy>60, Sell<40)"
QQQ,59,33,26,55.932203389830505,684.778547573779,-481.81128524030896,4.6637415796188275,-2.9637132450044534,1.80390544869928,100.90689343029702,-21.07160983677198,0.900429414494653,20.54237288135593,14.991061390047555,-7.876826460135311,"Trend Following (Buy>55, Sell<45)"
SPY,42,27,15,64.28571428571429,373.5935974078492,-319.5912913947998,3.1693208226199405,-2.6971422072805695,2.10415143791703,52.9315775908993,-17.7535987626854,0.7446273972075105,27.023809523809526,7.5327803117440695,-6.122849414516496,"Trend Following (Buy>60, Sell<40)"
QQQ,22,14,8,63.63636363636363,887.7999596264565,-958.4219525632,7.207182172150878,-6.830893308105971,1.6210500241477395,47.61823814264792,-27.259435635617212,0.540245084237884,25.181818181818183,16.57476440281016,-12.493697085545186,Momentum Divergence (lookback=5)
QQQ,7,6,1,85.71428571428571,786.6298924007866,-316.3651801401047,6.8084130762785025,-2.4404659792268357,14.91876998699582,44.03414174264615,-7.378661129526449,1.1012962291365802,23.0,15.305929552035224,-2.4404659792268357,Component Divergence
SPY,19,14,5,73.68421052631578,567.8360270937076,-728.1863335886188,4.710274803293812,-5.263486372080655,2.1834258657765493,43.08772711368813,-15.663192607175318,0.6181372647366639,26.473684210526315,16.922117445776475,-10.8195514018825,Momentum Divergence (lookback=5)
SPY,17,11,6,64.70588235294117,785.951245266503,-790.9279135580573,6.57766407213994,-5.7867990764007,1.8217976526329203,39.138100266097986,-17.006876519154616,0.5774416014363886,26.294117647058822,16.922117445776475,-10.55776344861622,Momentum Divergence (lookback=10)
SPY,40,30,10,75.0,262.8083886220668,-436.89587350662515,2.2616111376860135,-3.5414777500336476,1.8046065748758888,35.28821745341095,-26.108957060513237,0.6474589298540055,13.8,5.832833258061942,-8.628053698230499,Range Breakout
QQQ,12,8,4,66.66666666666666,812.1057753969105,-900.1078261976081,7.99800419433436,-8.330974286993273,1.8044633137510844,28.964148983848514,-22.572848459873484,0.35570698552998364,24.583333333333332,15.540337350472955,-14.01090060228829,"Mean Reversion (Buy<25, Sell>75)"
SPY,62,33,29,53.2258064516129,330.52542445149413,-295.59393906779854,3.0928788023349054,-2.658606279564733,1.2724047703923806,23.35114773933149,-22.86829633281362,0.3818528335755824,19.983870967741936,8.862435373409227,-7.829102097666862,"Trend Following (Buy>55, Sell<45)"
SPY,9,4,5,44.44444444444444,795.6495931711561,-262.8885382216857,7.629580350062865,-2.2892167105800802,2.4212530483172596,18.681556815761958,-9.521678261989527,0.522618671146894,20.666666666666668,15.261283219727616,-7.962923480602813,Component Divergence
SPY,19,12,7,63.1578947368421,473.6413826777225,-573.7867576062171,4.342600837982206,-4.794456453930512,1.4150843414483067,16.671892888891506,-17.919879210914498,0.28809506682571756,26.157894736842106,16.11848610842528,-10.8195514018825,Momentum Divergence (lookback=3)
QQQ,26,15,11,57.692307692307686,640.7756980454566,-724.9827373382127,6.327373253958727,-6.579214880838037,1.205249446348718,16.36825359961509,-23.910205794618825,0.23140041088789842,25.115384615384617,15.421680622251621,-13.943996731742036,"Mean Reversion (Buy<35, Sell>65)"
QQQ,17,9,8,52.94117647058824,890.6169803848156,-804.801144724938,8.21742170446108,-6.674873363993477,1.2449585956731688,15.771436656638361,-29.302132637176907,0.2672318600102483,25.941176470588236,15.865640683521143,-12.493697085545186,Momentum Divergence (lookback=10)
QQQ,20,12,8,60.0,570.2062148741738,-693.8821598697186,6.070556088651017,-6.870288016098268,1.2326434829681328,12.91417299532338,-22.727625335802173,0.2059160640648774,25.55,15.4216806222516,-10.301779815542922,"Mean Reversion (Buy<30, Sell>70)"
QQQ,26,15,11,57.692307692307686,602.830137414809,-720.7631048276268,6.087248416760876,-6.695829545450604,1.1405149500144487,11.1405790811824,-25.07481546533978,0.19076828917410357,25.115384615384617,15.4216806222516,-11.40919774952457,Hybrid Multi-Signal
QQQ,20,11,9,55.00000000000001,557.6007921145095,-578.0457309524977,5.954838802387241,-5.712459046727545,1.1789933611793633,9.31197134687125,-28.986936108966706,0.17503765295515944,24.75,15.540337350472978,-10.761703371167929,VIX Enhanced
QQQ,43,27,16,62.7906976744186,297.3643473907382,-474.5808005600447,3.0460091664818885,-4.57841658789381,1.0573591169927277,4.355445705892169,-40.35170295555529,0.12140119572415534,16.46511627906977,11.238897484133181,-10.17662441826811,Range Breakout
QQQ,22,11,11,50.0,765.3066870203974,-729.9213593610419,7.70784486555184,-6.665833580651836,1.0484782740024639,3.8923860425291057,-37.92964621799678,0.11725893321350231,25.818181818181817,19.26547410462438,-12.493697085545186,Momentum Divergence (lookback=3)
SPY,19,10,9,52.63157894736842,522.3584012942614,-558.3922189229668,6.205861812598639,-6.123039255729444,1.0394095834282382,1.9805404263591342,-34.2456568158384,0.10065311830348311,24.94736842105263,15.529088041464512,-12.140704424088689,VIX Enhanced
SPY,20,12,8,60.0,437.49904067023925,-695.451413312147,5.041276305020435,-7.329746795265531,0.9436296316947849,-3.136228184543055,-28.918651972253496,0.046429780979710164,24.0,15.52908804146449,-12.463829198828913,"Mean Reversion (Buy<30, Sell>70)"
SPY,14,7,7,50.0,576.668788217503,-628.3183264183043,6.967389108793611,-6.8959080164168345,0.9177971801407946,-3.6154676740560943,-27.811953532255824,0.021357514401962294,23.857142857142858,13.585726792779695,-12.463829198828902,"Mean Reversion (Buy<25, Sell>75)"
SPY,25,14,11,56.00000000000001,402.6196560240792,-608.4080379943379,4.864394982996116,-6.664215126398571,0.8422390645054033,-10.558132336006077,-28.918651972253496,-0.0343775495002043,23.72,15.52908804146449,-12.463829198828913,Hybrid Multi-Signal
SPY,23,11,12,47.82608695652174,420.8058056692516,-495.79551382313554,5.316291926122132,-5.63904594172162,0.7780196561730447,-13.2068230351586,-31.0679367978352,-0.0671959363340616,23.0,15.52908804146449,-9.705680457166398,"Mean Reversion (Buy<35, Sell>65)"
