timestamp,score,regime,strength_count,weakness_count,momentum_count,SPY_price,SPY_chg,QQQ_price,QQQ_chg,IWM_price,IWM_chg,XLK_price,XLK_chg,XLF_price,XLF_chg,spy_vwap,vwap_diff_pct
2026-07-23 14:41:31,0,BEARISH,174,289,46,739.83,-1.01,694.62,-1.52,292.23,-0.53,179.51,-0.42,55.63,-0.75,740.01,-0.04
2026-07-23 15:34:53,0,BEARISH,151,295,41,736.37,-1.48,689.09,-2.31,290.54,-1.11,177.63,-1.46,55.6,-0.79,739.0,-0.36
2026-07-23 16:24:17,0,BEARISH,137,255,38,739.51,-1.06,693.92,-1.62,291.91,-0.64,179.07,-0.67,55.73,-0.57,738.74,0.1
2026-07-23 17:22:50,0,BEARISH,112,198,27,738.49,-1.19,692.61,-1.81,291.49,-0.78,178.6,-0.93,55.76,-0.52,738.73,-0.04
2026-07-23 18:20:16,0,BEARISH,94,176,21,737.02,-1.39,690.73,-2.07,291.05,-0.93,177.81,-1.36,55.69,-0.63,738.64,-0.22
2026-07-23 19:22:41,0,BEARISH,91,179,18,737.41,-1.34,690.52,-2.1,291.48,-0.79,177.88,-1.33,55.81,-0.43,738.46,-0.14
