timestamp,score,regime,strength_count,weakness_count,momentum_count,SPY_price,SPY_chg,QQQ_price,QQQ_chg,IWM_price,IWM_chg,XLK_price,XLK_chg,XLF_price,XLF_chg,UPRO_price,UPRO_S1,UPRO_PP,UPRO_R1,TQQQ_price,TQQQ_S1,TQQQ_PP,TQQQ_R1
2026-09-11 13:59:26,4,TRENDING,343,107,74,766.17,1.1,716.68,1.13,290.25,0.89,188.34,1.68,57.22,0.61,149.11,143.62,144.69,145.58,71.5,68.52,69.37,70.07
2026-09-11 14:58:26,4,TRENDING,307,140,64,764.12,0.83,714.58,0.83,289.29,0.55,187.68,1.33,57.03,0.27,147.95,143.62,144.69,145.58,70.9,68.52,69.37,70.07
2026-09-11 15:57:44,4,TRENDING,249,131,50,765.78,1.05,716.66,1.12,289.67,0.68,188.18,1.6,57.15,0.49,148.79,143.62,144.69,145.58,71.5,68.52,69.37,70.07
2026-09-11 16:57:04,4,TRENDING,194,107,40,765.43,1.0,715.89,1.02,289.53,0.64,187.92,1.46,57.24,0.66,148.74,143.62,144.69,145.58,71.27,68.52,69.37,70.07
2026-09-11 17:57:05,4,TRENDING,162,98,30,765.74,1.04,716.64,1.12,289.49,0.62,188.18,1.6,57.27,0.7,148.97,143.62,144.69,145.58,71.5,68.52,69.37,70.07
2026-09-11 18:57:07,4,TRENDING,145,107,23,765.2,0.97,716.14,1.05,289.27,0.55,188.17,1.59,57.24,0.66,148.62,143.62,144.69,145.58,71.35,68.52,69.37,70.07
