timestamp,score,regime,strength_count,weakness_count,momentum_count,SPY_price,SPY_chg,QQQ_price,QQQ_chg,IWM_price,IWM_chg,XLK_price,XLK_chg,XLF_price,XLF_chg,spy_vwap,vwap_diff_pct
2026-07-16 14:36:23,1,BEARISH,167,251,42,754.27,-0.07,712.39,-0.75,296.92,0.39,178.48,-1.71,56.67,0.19,752.69,0.21
2026-07-16 15:26:39,1,BEARISH,159,218,33,754.3,-0.07,711.51,-0.87,297.19,0.48,178.1,-1.92,56.74,0.33,753.01,0.17
2026-07-16 16:22:26,0,BEARISH,138,192,29,751.61,-0.42,707.31,-1.45,295.4,-0.13,177.03,-2.51,56.59,0.05,753.04,-0.19
2026-07-16 17:22:24,0,BEARISH,113,158,24,752.15,-0.35,707.5,-1.43,295.57,-0.07,177.18,-2.42,56.65,0.17,752.89,-0.1
2026-07-16 18:17:45,0,BEARISH,107,137,22,751.25,-0.47,707.16,-1.47,295.36,-0.14,177.31,-2.35,56.51,-0.09,752.64,-0.19
2026-07-16 19:21:57,0,BEARISH,99,140,22,749.93,-0.65,705.02,-1.77,295.01,-0.26,177.32,-2.35,56.63,0.12,752.22,-0.3
