timestamp,score,regime,strength_count,weakness_count,momentum_count,SPY_price,SPY_chg,QQQ_price,QQQ_chg,IWM_price,IWM_chg,XLK_price,XLK_chg,XLF_price,XLF_chg,spy_vwap,vwap_diff_pct
2026-09-09 13:59:35,1,BEARISH,185,246,66,764.09,-0.24,718.92,0.08,292.8,-0.64,188.67,0.43,56.9,-0.7,763.79,0.04
2026-09-09 14:58:33,1,BEARISH,169,268,48,763.74,-0.29,718.11,-0.03,292.04,-0.89,188.34,0.25,57.29,-0.01,763.63,0.01
2026-09-09 15:57:42,0,BEARISH,136,256,34,761.96,-0.52,715.83,-0.35,291.02,-1.24,187.79,-0.04,57.1,-0.36,763.01,-0.14
2026-09-09 16:56:46,1,BEARISH,100,206,25,762.63,-0.43,716.6,-0.25,290.98,-1.25,188.21,0.18,57.18,-0.21,762.83,-0.03
2026-09-09 17:57:16,1,BEARISH,80,182,19,763.13,-0.37,716.82,-0.21,290.97,-1.26,188.21,0.18,57.19,-0.2,762.83,0.04
2026-09-09 18:57:11,1,BEARISH,67,165,17,763.22,-0.36,716.58,-0.25,290.77,-1.33,188.07,0.1,57.13,-0.3,762.83,0.05
