timestamp,score,regime,strength_count,weakness_count,momentum_count,SPY_price,SPY_chg,QQQ_price,QQQ_chg,IWM_price,IWM_chg,XLK_price,XLK_chg,XLF_price,XLF_chg,spy_vwap,vwap_diff_pct
2026-09-15 13:59:46,1,BEARISH,148,226,33,759.58,-0.17,709.05,-0.02,285.79,-0.74,184.99,0.39,56.89,-0.25,759.66,-0.01
2026-09-15 14:58:17,0,BEARISH,129,264,35,756.54,-0.57,704.55,-0.65,284.14,-1.31,183.86,-0.23,56.63,-0.69,758.4,-0.24
2026-09-15 15:57:39,0,BEARISH,135,245,33,757.27,-0.47,705.58,-0.51,284.45,-1.2,184.22,-0.03,56.48,-0.96,758.03,-0.1
2026-09-15 16:56:42,0,BEARISH,136,212,29,757.76,-0.41,705.6,-0.5,285.41,-0.87,184.1,-0.1,56.58,-0.8,757.92,-0.02
2026-09-15 17:57:15,0,BEARISH,114,222,23,757.37,-0.46,705.16,-0.57,285.33,-0.9,183.97,-0.17,56.62,-0.72,757.84,-0.07
2026-09-15 18:56:56,0,BEARISH,104,212,22,757.18,-0.49,704.51,-0.66,285.27,-0.92,183.68,-0.33,56.81,-0.39,757.65,-0.06
