timestamp,score,regime,strength_count,weakness_count,momentum_count,SPY_price,SPY_chg,QQQ_price,QQQ_chg,IWM_price,IWM_chg,XLK_price,XLK_chg,XLF_price,XLF_chg,UPRO_price,UPRO_S1,UPRO_PP,UPRO_R1,TQQQ_price,TQQQ_S1,TQQQ_PP,TQQQ_R1
2026-07-06 14:59:09,4,TRENDING,241,160,36,750.02,0.7,724.38,1.65,299.71,0.72,185.16,2.53,55.84,0.4,143.61,137.73,141.06,144.11,76.94,70.33,74.74,77.75
2026-07-06 16:04:39,4,TRENDING,203,118,26,750.72,0.8,725.15,1.76,300.15,0.86,184.95,2.41,55.85,0.42,144.04,137.73,141.06,144.11,77.17,70.33,74.74,77.75
2026-07-06 16:52:56,4,TRENDING,165,91,20,750.91,0.82,724.26,1.64,300.15,0.87,184.56,2.2,55.97,0.62,144.13,137.73,141.06,144.11,76.9,70.33,74.74,77.75
