timestamp,score,regime,strength_count,weakness_count,momentum_count,SPY_price,SPY_chg,QQQ_price,QQQ_chg,IWM_price,IWM_chg,XLK_price,XLK_chg,XLF_price,XLF_chg,UPRO_price,UPRO_S1,UPRO_PP,UPRO_R1,TQQQ_price,TQQQ_S1,TQQQ_PP,TQQQ_R1
2026-05-26 15:03:12,5,TRENDING,433,164,163,750.81,0.69,729.31,1.64,289.63,1.58,185.11,2.62,51.88,-0.12,146.03,142.05,143.53,144.55,81.65,77.0,78.17,79.0
2026-05-26 16:13:42,5,TRENDING,350,141,122,749.07,0.46,727.21,1.35,289.2,1.43,184.43,2.24,51.87,-0.14,145.03,142.05,143.53,144.55,80.98,77.0,78.17,79.0
2026-05-26 17:01:44,4,TRENDING,294,123,103,749.34,0.5,728.12,1.47,289.65,1.59,184.7,2.39,51.81,-0.24,145.12,142.05,143.53,144.55,81.28,77.0,78.17,79.0
2026-05-26 17:54:20,4,TRENDING,247,94,88,749.21,0.48,728.52,1.53,289.72,1.61,184.91,2.51,51.74,-0.39,145.14,142.05,143.53,144.55,81.4,77.0,78.17,79.0
