report_date_as_yyyy_mm_dd,SP500_Max,NASDAQ_Max,USTBOND_Min,USTBOND_Max,10Y_Max,spy_z_composite,qqq_z_composite,composite_z_score,relative_strength,spy_smi_expanding,spy_smi_rolling,qqq_smi_expanding,qqq_smi_rolling,composite_smi_expanding,composite_smi_rolling,SP500_Max_lagged,NASDAQ_Max_lagged,USTBOND_Min_lagged,USTBOND_Max_lagged,10Y_Max_lagged,spy_z_composite_lagged,qqq_z_composite_lagged,composite_z_score_lagged,relative_strength_lagged,spy_smi_expanding_lagged,spy_smi_rolling_lagged,qqq_smi_expanding_lagged,qqq_smi_rolling_lagged,composite_smi_expanding_lagged,composite_smi_rolling_lagged
2010-06-15T00:00:00.000,,,-1.8823777422167827,-0.22346801012943696,-0.23098279546816694,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-22T00:00:00.000,,,-1.8823777422167827,-0.6477794737669289,-0.18614043400992072,,,,,,,,,,,,,-1.8823777422167827,-0.22346801012943696,-0.23098279546816694,,,,,,,,,,
2010-06-29T00:00:00.000,,,-1.8823777422167827,-0.6477794737669289,-0.18614043400992072,,,,,,,,,,,,,-1.8823777422167827,-0.6477794737669289,-0.18614043400992072,,,,,,,,,,
2010-07-06T00:00:00.000,,,-1.8823777422167827,-0.6477794737669289,-0.18614043400992072,,,,,,,,,,,,,-1.8823777422167827,-0.6477794737669289,-0.18614043400992072,,,,,,,,,,
2010-07-13T00:00:00.000,,,-1.8823777422167827,-0.8377122656005422,-0.18614043400992072,,,,,,,,,,,,,-1.8823777422167827,-0.6477794737669289,-0.18614043400992072,,,,,,,,,,
2010-07-20T00:00:00.000,,,-1.5512716411117116,-0.8377122656005422,-0.18614043400992072,,,,,,,,,,,,,-1.8823777422167827,-0.8377122656005422,-0.18614043400992072,,,,,,,,,,
2010-07-27T00:00:00.000,,,-1.5512716411117116,-0.8377122656005422,-0.18614043400992072,,,,,,,,,,,,,-1.5512716411117116,-0.8377122656005422,-0.18614043400992072,,,,,,,,,,
2010-08-03T00:00:00.000,,,-1.7541943829966675,-0.8377122656005422,-0.18614043400992072,,,,,,,,,,,,,-1.5512716411117116,-0.8377122656005422,-0.18614043400992072,,,,,,,,,,
2010-08-10T00:00:00.000,,,-1.7541943829966675,-0.8377122656005422,-0.3870857061612974,,,,,,,,,,,,,-1.7541943829966675,-0.8377122656005422,-0.18614043400992072,,,,,,,,,,
2010-08-17T00:00:00.000,,,-1.7541943829966675,-0.9516894625148936,-0.3870857061612974,,,,,,,,,,,,,-1.7541943829966675,-0.8377122656005422,-0.3870857061612974,,,,,,,,,,
2010-08-24T00:00:00.000,,,-1.7541943829966675,-0.8705176226757881,-0.3870857061612974,,,,,,,,,,,,,-1.7541943829966675,-0.9516894625148936,-0.3870857061612974,,,,,,,,,,
2010-08-31T00:00:00.000,,,-1.7541943829966675,-0.8705176226757881,-0.4068328445800636,,,,,,,,,,,,,-1.7541943829966675,-0.8705176226757881,-0.3870857061612974,,,,,,,,,,
2010-09-07T00:00:00.000,,,-1.7541943829966675,-0.8705176226757881,0.21764373100382153,,,,,,,,,,,,,-1.7541943829966675,-0.8705176226757881,-0.4068328445800636,,,,,,,,,,
2010-09-14T00:00:00.000,,,-1.7541943829966675,-0.8705176226757881,0.21764373100382153,,,,,,,,,,,,,-1.7541943829966675,-0.8705176226757881,0.21764373100382153,,,,,,,,,,
2010-09-21T00:00:00.000,,,-1.6560675175370028,-0.8705176226757881,0.21764373100382153,,,,,,,,,,,,,-1.7541943829966675,-0.8705176226757881,0.21764373100382153,,,,,,,,,,
2010-09-28T00:00:00.000,,,-1.6444953627038872,-0.8705176226757881,0.21764373100382153,,,,,,,,,,,,,-1.6560675175370028,-0.8705176226757881,0.21764373100382153,,,,,,,,,,
2010-10-05T00:00:00.000,,,-1.4488592221112853,-0.8705176226757881,0.21764373100382153,,,,,,,,,,,,,-1.6444953627038872,-0.8705176226757881,0.21764373100382153,,,,,,,,,,
2010-10-12T00:00:00.000,,,-1.4488592221112853,-0.8841812580544078,0.21764373100382153,,,,,,,,,,,,,-1.4488592221112853,-0.8705176226757881,0.21764373100382153,,,,,,,,,,
2010-10-19T00:00:00.000,,,-1.4488592221112853,-0.7242391040835057,0.21764373100382153,,,,,,,,,,,,,-1.4488592221112853,-0.8841812580544078,0.21764373100382153,,,,,,,,,,
2010-10-26T00:00:00.000,,,-1.4488592221112853,-0.4056387800113763,-0.11727012127282983,,,,,,,,,,,,,-1.4488592221112853,-0.7242391040835057,0.21764373100382153,,,,,,,,,,
2010-11-02T00:00:00.000,,,-1.4488592221112853,-0.3843591443590973,-0.04398617994525544,,,,,,,,,,,,,-1.4488592221112853,-0.4056387800113763,-0.11727012127282983,,,,,,,,,,
2010-11-09T00:00:00.000,,,-1.1980797755309718,0.20806751865254677,-0.04398617994525544,,,,,,,,,,,,,-1.4488592221112853,-0.3843591443590973,-0.04398617994525544,,,,,,,,,,
2010-11-16T00:00:00.000,,,-1.1980797755309718,0.20806751865254677,0.5846148605887683,,,,,,,,,,,,,-1.1980797755309718,0.20806751865254677,-0.04398617994525544,,,,,,,,,,
2010-11-23T00:00:00.000,,,-1.1395538975174457,0.35584561748310445,0.638321161735558,,,,,,,,,,,,,-1.1980797755309718,0.20806751865254677,0.5846148605887683,,,,,,,,,,
2010-11-30T00:00:00.000,,,-0.7242391040835057,0.35584561748310445,0.638321161735558,,,,,,,,,,,,,-1.1395538975174457,0.35584561748310445,0.638321161735558,,,,,,,,,,
2010-12-07T00:00:00.000,,,-0.4056387800113763,0.9807306102270422,1.3219641982591601,,,,,,,,,,,,,-0.7242391040835057,0.35584561748310445,0.638321161735558,,,,,,,,,,
2010-12-14T00:00:00.000,,,-0.3843591443590973,0.9807306102270422,1.3219641982591601,,,,,,,,,,,,,-0.4056387800113763,0.9807306102270422,1.3219641982591601,,,,,,,,,,
2010-12-21T00:00:00.000,,,0.02763327730630546,1.2023249881326703,1.3219641982591601,,,,,,,,,,,,,-0.3843591443590973,0.9807306102270422,1.3219641982591601,,,,,,,,,,
2010-12-28T00:00:00.000,,,0.02763327730630546,1.2023249881326703,1.3219641982591601,,,,,,,,,,,,,0.02763327730630546,1.2023249881326703,1.3219641982591601,,,,,,,,,,
2011-01-04T00:00:00.000,,,0.22216940879228708,1.4834207695713415,1.3219641982591601,,,,,,,,,,,,,0.02763327730630546,1.2023249881326703,1.3219641982591601,,,,,,,,,,
2011-01-11T00:00:00.000,,,0.22216940879228708,1.4834207695713415,1.66688672087005,,,,,,,,,,,,,0.22216940879228708,1.4834207695713415,1.3219641982591601,,,,,,,,,,
2011-01-18T00:00:00.000,,,0.5945056467801221,1.4834207695713415,1.7819759965199675,,,,,,,,,,,,,0.22216940879228708,1.4834207695713415,1.66688672087005,,,,,,,,,,
2011-01-25T00:00:00.000,,,0.4616249387472241,1.4834207695713415,1.9910070654607641,,,,,,,,,,,,,0.5945056467801221,1.4834207695713415,1.7819759965199675,,,,,,,,,,
2011-02-01T00:00:00.000,,,0.4616249387472241,1.4834207695713415,1.9910070654607641,,,,,,,,,,,,,0.4616249387472241,1.4834207695713415,1.9910070654607641,,,,,,,,,,
2011-02-08T00:00:00.000,,,0.4616249387472241,1.4834207695713415,1.9910070654607641,,,,,,,,,,,,,0.4616249387472241,1.4834207695713415,1.9910070654607641,,,,,,,,,,
2011-02-15T00:00:00.000,,,0.4616249387472241,1.4951948263570094,1.9910070654607641,,,,,,,,,,,,,0.4616249387472241,1.4834207695713415,1.9910070654607641,,,,,,,,,,
2011-02-22T00:00:00.000,,,0.3698010888273589,1.4951948263570094,2.109255806091572,,,,,,,,,,,,,0.4616249387472241,1.4951948263570094,1.9910070654607641,,,,,,,,,,
2011-03-01T00:00:00.000,,,0.3698010888273589,1.4951948263570094,2.109255806091572,,,,,,,,,,,,,0.3698010888273589,1.4951948263570094,2.109255806091572,,,,,,,,,,
2011-03-08T00:00:00.000,,,0.3698010888273589,1.4951948263570094,2.5379693722884595,,,,,,,,,,,,,0.3698010888273589,1.4951948263570094,2.109255806091572,,,,,,,,,,
2011-03-15T00:00:00.000,,,0.3698010888273589,1.4951948263570094,2.5379693722884595,,,,,,,,,,,,,0.3698010888273589,1.4951948263570094,2.5379693722884595,,,,,,,,,,
2011-03-22T00:00:00.000,,,0.3698010888273589,1.4951948263570094,2.5379693722884595,,,,,,,,,,,,,0.3698010888273589,1.4951948263570094,2.5379693722884595,,,,,,,,,,
