date,ticker,cumulative_return
2025-11-01,SPY,0.0
2025-11-19,SPY,0.0
2025-11-20,SPY,0.0
2025-11-21,SPY,0.0
2025-11-22,SPY,0.0
2025-11-23,SPY,0.0
2025-11-24,SPY,0.0
2025-11-25,SPY,0.0
2025-11-26,SPY,0.0
2025-11-27,SPY,0.0
2025-11-01,QQQ,0.0
2025-11-19,QQQ,-3.8755630691270895
2025-11-20,QQQ,-3.8755630691270895
2025-11-21,QQQ,-3.8755630691270895
2025-11-22,QQQ,-3.8755630691270895
2025-11-23,QQQ,-3.8755630691270895
2025-11-24,QQQ,-3.8755630691270895
2025-11-25,QQQ,-3.8755630691270895
2025-11-26,QQQ,-3.8755630691270895
2025-11-27,QQQ,-3.8755630691270895
2025-11-01,IBIT,0.0
2025-11-19,IBIT,0.0
2025-11-20,IBIT,0.0
2025-11-21,IBIT,0.0
2025-11-22,IBIT,0.0
2025-11-23,IBIT,0.0
2025-11-24,IBIT,0.0
2025-11-25,IBIT,0.0
2025-11-26,IBIT,0.0
2025-11-27,IBIT,0.0
2025-11-01,BTC-USD,0.0
2025-11-19,BTC-USD,0.0
2025-11-20,BTC-USD,0.0
2025-11-21,BTC-USD,0.0
2025-11-22,BTC-USD,0.0
2025-11-23,BTC-USD,0.0
2025-11-24,BTC-USD,0.0
2025-11-25,BTC-USD,0.0
2025-11-26,BTC-USD,0.0
2025-11-27,BTC-USD,0.0
