Ticker,Company,Sector,Sector_ETF,Sector_Score,Price,ATR,Entry_Zone_Low,Entry_Zone_High,Limit_Buy_Price,Entry_Method,Shares,Investment,Entry_Price,Stop_Loss,Stop_Loss_Pct,Take_Profit,Take_Profit_Pct,Take_Profit_Extended,Potential_Loss,Potential_Gain,Risk_Reward,Max_Hold_Days,Market_Mode,Volume,Analyst_Rating,Recommendation
KMI,Kinder Morgan Inc,Energy,XLE,73.30046318191607,32.77,0.72,32.41,32.99,32.99,ATR-based,20,655.4,32.77,31.33,-4.4,34.93,6.6,36.37,33.12,38.88,1.17,21,NEUTRAL,17790245,2.12,CONSIDER
OBE,Obsidian Energy Ltd,Energy,XLE,73.30046318191607,10.73,0.52,10.47,10.89,10.89,ATR-based,62,665.26,10.73,9.69,-9.7,12.29,14.5,13.33,74.15,87.05,1.17,21,NEUTRAL,2092988,2.25,CONSIDER
OII,Oceaneering International Inc,Energy,XLE,73.30046318191607,48.02,1.94,47.05,48.6,48.6,ATR-based,13,624.26,48.02,44.14,-8.1,53.84,12.1,57.72,58.01,68.09,1.17,21,NEUTRAL,2596217,3.0,CONSIDER
OVV,Ovintiv Inc,Energy,XLE,73.30046318191607,61.39,1.61,60.59,61.87,61.87,ATR-based,10,613.9,61.39,58.17,-5.2,66.22,7.9,69.44,37.03,43.47,1.17,21,NEUTRAL,5760566,1.48,CONSIDER
SKYQ,Sky Quarry Inc,Energy,XLE,73.30046318191607,5.64,0.85,5.21,5.89,5.89,ATR-based,118,665.52,5.64,3.94,-30.1,8.19,45.2,9.89,230.69,270.81,1.17,21,NEUTRAL,33810200,,CONSIDER
VET,Vermilion Energy Inc,Energy,XLE,73.30046318191607,11.24,0.43,11.03,11.37,11.37,ATR-based,59,663.16,11.24,10.38,-7.7,12.53,11.5,13.39,58.35,68.5,1.17,21,NEUTRAL,2923018,2.09,CONSIDER
BKGI,BNY Mellon Global Infrastructure Income ETF,Financial,XLF,55.63435330728745,45.93,0.47,45.7,46.07,46.07,ATR-based,14,643.02,45.93,44.99,-2.0,47.34,3.1,48.28,15.13,17.77,1.17,21,NEUTRAL,569407,,CONSIDER
CLBK,Columbia Financial Inc,Financial,XLF,55.63435330728745,11.01,0.33,10.85,11.11,11.11,ATR-based,60,660.6,11.01,10.35,-6.0,12.0,9.0,12.66,45.54,53.46,1.17,21,NEUTRAL,9987548,3.0,CONSIDER
EPOL,iShares MSCI Poland ETF,Financial,XLF,55.63435330728745,40.78,0.62,40.47,40.97,40.97,ATR-based,16,652.48,40.78,39.54,-3.0,42.64,4.6,43.88,22.82,26.78,1.17,21,NEUTRAL,751213,,CONSIDER
FBP,First Bancorp PR,Financial,XLF,55.63435330728745,28.85,0.56,28.57,29.02,29.02,ATR-based,23,663.55,28.85,27.73,-3.9,30.53,5.8,31.65,29.62,34.78,1.17,21,NEUTRAL,2493505,1.57,CONSIDER
NBBK,NB Bancorp Inc,Financial,XLF,55.63435330728745,22.29,0.55,22.02,22.45,22.45,ATR-based,29,646.41,22.29,21.19,-4.9,23.94,7.4,25.04,36.69,43.06,1.17,21,NEUTRAL,934010,2.0,CONSIDER
AGCO,AGCO Corp,Industrials,XLI,54.183217452062124,117.27,3.72,115.41,118.39,118.39,ATR-based,5,586.35,117.27,109.83,-6.3,128.43,9.5,135.87,42.78,50.22,1.17,21,NEUTRAL,1430235,2.63,CONSIDER
CNI,Canadian National Railway Co,Industrials,XLI,54.183217452062124,130.58,2.24,129.46,131.25,131.25,ATR-based,5,652.9,130.58,126.1,-3.4,137.3,5.1,141.78,25.76,30.24,1.17,21,NEUTRAL,2438703,2.12,CONSIDER
CSX,CSX Corp,Industrials,XLI,54.183217452062124,52.81,1.1,52.26,53.14,53.14,ATR-based,12,633.72,52.81,50.61,-4.2,56.11,6.2,58.31,30.36,35.64,1.17,21,NEUTRAL,29141495,2.0,CONSIDER
CXW,CoreCivic Inc,Industrials,XLI,54.183217452062124,31.65,1.18,31.06,32.0,32.0,ATR-based,21,664.65,31.65,29.29,-7.5,35.19,11.2,37.55,56.99,66.91,1.17,21,NEUTRAL,1953561,1.0,CONSIDER
