Ticker,Company,Sector,Sector_ETF,Sector_Score,Price,ATR,Entry_Zone_Low,Entry_Zone_High,Limit_Buy_Price,Entry_Method,Shares,Investment,Entry_Price,Stop_Loss,Stop_Loss_Pct,Take_Profit,Take_Profit_Pct,Take_Profit_Extended,Potential_Loss,Potential_Gain,Risk_Reward,Max_Hold_Days,Market_Mode,Volume,Analyst_Rating,Recommendation
GFR,Greenfire Resources Ltd,Energy,XLE,67.76076411399514,6.29,0.25,6.17,6.37,6.37,ATR-based,176,1107.04,6.29,5.79,-7.9,7.04,11.9,7.54,101.2,118.8,1.17,21,RISK_OFF,1320520,,CONSIDER
GRNT,Granite Ridge Resources Inc,Energy,XLE,67.76076411399514,5.06,0.16,4.98,5.11,5.11,ATR-based,219,1108.14,5.06,4.74,-6.3,5.54,9.5,5.86,80.59,94.61,1.17,21,RISK_OFF,1733246,1.57,CONSIDER
HLX,Helix Energy Solutions Group Inc,Energy,XLE,67.76076411399514,10.6,0.36,10.42,10.71,10.71,ATR-based,104,1102.4,10.6,9.88,-6.8,11.68,10.2,12.4,86.11,101.09,1.17,21,RISK_OFF,3827619,2.0,CONSIDER
HP,Helmerich & Payne Inc,Energy,XLE,67.76076411399514,46.21,1.62,45.4,46.7,46.7,ATR-based,24,1109.04,46.21,42.97,-7.0,51.07,10.5,54.31,89.42,104.98,1.17,21,RISK_OFF,2262142,2.59,CONSIDER
PBF,PBF Energy Inc,Energy,XLE,67.76076411399514,74.99,4.2,72.89,76.25,76.25,ATR-based,14,1049.86,74.99,66.59,-11.2,87.59,16.8,95.99,135.24,158.76,1.17,21,RISK_OFF,5001293,3.4,CONSIDER
USAC,USA Compression Partners LP,Energy,XLE,67.76076411399514,27.2,0.61,26.89,27.38,27.38,ATR-based,40,1088.0,27.2,25.98,-4.5,29.03,6.7,30.25,56.12,65.88,1.17,21,RISK_OFF,475643,2.83,CONSIDER
CLMT,Calumet Inc,Basic Materials,XLB,55.6343286554275,51.52,2.27,50.39,52.2,52.2,ATR-based,21,1081.92,51.52,46.98,-8.8,58.33,13.2,62.87,109.64,128.71,1.17,21,RISK_OFF,2044234,2.33,CONSIDER
IPI,Intrepid Potash Inc,Basic Materials,XLB,55.6343286554275,40.7,1.68,39.86,41.2,41.2,ATR-based,27,1098.9,40.7,37.34,-8.3,45.74,12.4,49.1,104.33,122.47,1.17,21,RISK_OFF,370129,3.67,CONSIDER
STDN,Standard Nuclear Inc,Basic Materials,XLB,55.6343286554275,16.56,1.37,15.87,16.97,16.97,ATR-based,67,1109.52,16.56,13.82,-16.5,20.67,24.8,23.41,211.12,247.83,1.17,21,RISK_OFF,2701034,1.12,CONSIDER
