Date,Ticker,Sector_Name,Close,Volume,Momentum_5d,Momentum_20d,RS_vs_SPY,Volume_Pressure,Volatility,Sector_Score,FinViz_Code,Rank
2026-07-27,XLE,Energy,58.36000061035156,"Ticker
XLE    33795312
Name: 2026-07-27 00:00:00, dtype: int64",0.7248912557774378,8.395245997313406,0.07009762416414511,73.09390307905137,82.37761601763663,65.84900292674887,sec_energy,1
2026-07-27,XLF,Financials,56.880001068115234,"Ticker
XLF    28643720
Name: 2026-07-27 00:00:00, dtype: int64",1.4989295839842542,6.1788340342492365,0.047933504533503424,71.18751044868135,22.955168090258468,57.618682976155604,sec_financial,2
2026-07-27,XLI,Industrials,183.1999969482422,"Ticker
XLI    6174561
Name: 2026-07-27 00:00:00, dtype: int64",2.8520109871508215,1.1037527779712342,-0.0028173080292765995,53.324229374587176,100.0,57.21666125729955,sec_industrials,3
2026-07-27,XLV,Healthcare,163.39999389648438,"Ticker
XLV    7869358
Name: 2026-07-27 00:00:00, dtype: int64",2.6059616304454414,1.908443076264832,0.005229594953659378,56.446037090088964,38.115385925505265,52.358831948561885,sec_healthcare,4
2026-07-27,XLB,Materials,51.38999938964844,"Ticker
XLB    8699405
Name: 2026-07-27 00:00:00, dtype: int64",2.718370264910641,-0.4069749819430313,-0.017924585628419254,46.107371418746816,55.862709601262104,49.79537657744736,sec_basicmaterials,5
2026-07-27,XLRE,Real Estate,45.7599983215332,"Ticker
XLRE    4166033
Name: 2026-07-27 00:00:00, dtype: int64",1.1717859488412197,1.1494178244337183,-0.002360657564651758,48.687847401867174,38.43687951944869,49.50664784583907,sec_realestate,6
2026-07-27,XLU,Utilities,45.68000030517578,"Ticker
XLU    16407803
Name: 2026-07-27 00:00:00, dtype: int64",1.6466437496217345,-1.1255420977845598,-0.02511025678683454,46.34319486566951,59.36016177130893,49.045028761879486,sec_utilities,7
2026-07-27,XLP,Consumer Staples,85.36000061035156,"Ticker
XLP    12099743
Name: 2026-07-27 00:00:00, dtype: int64",0.5892057464102818,0.767325620238446,-0.0061815796066044815,54.65084668919812,15.761133751612789,47.81654884135401,sec_consumerdefensive,8
2026-07-27,XLC,Communication Services,107.66000366210938,"Ticker
XLC    6647274
Name: 2026-07-27 00:00:00, dtype: int64",-2.8339343891368496,1.3938626414389255,8.379060540031347e-05,54.25606215979969,0.0,45.418759527294675,sec_communicationservices,9
2026-07-27,XLK,Technology,174.3000030517578,"Ticker
XLK    8244227
Name: 2026-07-27 00:00:00, dtype: int64",-0.8024606500672937,-3.7601444070695433,-0.051456279879684375,42.15763876078259,58.316255620480135,44.48928285665862,sec_technology,10
2026-07-27,XLY,Consumer Discretionary,110.83999633789062,"Ticker
XLY    6977050
Name: 2026-07-27 00:00:00, dtype: int64",-3.289419991609732,-3.086479254978336,-0.0447196283587723,37.26132122643156,9.900868901150517,38.347362093329686,sec_consumercyclical,11
