Ticker,Company,Sector,Sector_ETF,Sector_Score,Price,ATR,Entry_Zone_Low,Entry_Zone_High,Limit_Buy_Price,Entry_Method,Shares,Investment,Entry_Price,Stop_Loss,Stop_Loss_Pct,Take_Profit,Take_Profit_Pct,Take_Profit_Extended,Potential_Loss,Potential_Gain,Risk_Reward,Max_Hold_Days,Market_Mode,Volume,Analyst_Rating,Recommendation
ARLP,"Alliance Resource Partners, LP",Energy,XLE,65.84900292674887,25.63,0.49,25.38,25.78,25.78,ATR-based,26,666.38,25.63,24.65,-3.8,27.1,5.7,28.08,29.3,34.4,1.17,21,RISK_OFF,495492,1.5,CONSIDER
BKR,Baker Hughes Co,Energy,XLE,65.84900292674887,60.59,2.01,59.59,61.19,61.19,ATR-based,11,666.49,60.59,56.57,-6.6,66.62,10.0,70.64,50.85,59.7,1.17,21,RISK_OFF,15184500,1.78,CONSIDER
BSM,Black Stone Minerals LP,Energy,XLE,65.84900292674887,14.91,0.31,14.76,15.0,15.0,ATR-based,44,656.04,14.91,14.29,-4.2,15.84,6.2,16.46,31.37,36.83,1.17,21,RISK_OFF,681826,2.5,CONSIDER
DINO,HF Sinclair Corp,Energy,XLE,65.84900292674887,90.78,3.08,89.24,91.7,91.7,ATR-based,7,635.46,90.78,84.62,-6.8,100.02,10.2,106.18,49.59,58.21,1.17,21,RISK_OFF,4676823,2.53,CONSIDER
OII,Oceaneering International Inc,Energy,XLE,65.84900292674887,52.17,2.24,51.05,52.84,52.84,ATR-based,12,626.04,52.17,47.69,-8.6,58.89,12.9,63.37,61.82,72.58,1.17,21,RISK_OFF,1669375,3.0,CONSIDER
WKC,World Kinect Corp,Energy,XLE,65.84900292674887,39.79,1.29,39.14,40.18,40.18,ATR-based,16,636.64,39.79,37.21,-6.5,43.66,9.7,46.24,47.47,55.73,1.17,21,RISK_OFF,1874583,3.67,CONSIDER
ALRS,Alerus Financial Corp,Financial,XLF,57.618682976155604,32.74,0.72,32.38,32.96,32.96,ATR-based,20,654.8,32.74,31.3,-4.4,34.9,6.6,36.34,33.12,38.88,1.17,21,RISK_OFF,395131,2.8,CONSIDER
AMTB,Amerant Bancorp Inc,Financial,XLF,57.618682976155604,29.52,0.9,29.07,29.79,29.79,ATR-based,22,649.44,29.52,27.72,-6.1,32.22,9.1,34.02,45.54,53.46,1.17,21,RISK_OFF,874129,1.75,CONSIDER
BCAL,California Bancorp,Financial,XLF,57.618682976155604,21.21,0.53,20.95,21.37,21.37,ATR-based,31,657.51,21.21,20.15,-5.0,22.8,7.5,23.86,37.79,44.36,1.17,21,RISK_OFF,323101,1.0,CONSIDER
BFH,Bread Financial Holdings Inc,Financial,XLF,57.618682976155604,106.11,3.73,104.25,107.23,107.23,ATR-based,6,636.66,106.11,98.65,-7.0,117.3,10.5,124.76,51.47,60.43,1.17,21,RISK_OFF,1160366,2.17,CONSIDER
EBC,Eastern Bankshares Inc,Financial,XLF,57.618682976155604,23.1,0.54,22.83,23.26,23.26,ATR-based,28,646.8,23.1,22.02,-4.7,24.72,7.0,25.8,34.78,40.82,1.17,21,RISK_OFF,4980148,1.25,CONSIDER
FELE,Franklin Electric Co Inc,Industrials,XLI,57.21666125729955,105.43,2.33,104.27,106.13,106.13,ATR-based,6,632.58,105.43,100.77,-4.4,112.42,6.6,117.08,32.15,37.75,1.17,21,RISK_OFF,497900,2.0,CONSIDER
HUBB,Hubbell Inc,Industrials,XLI,57.21666125729955,497.96,16.05,489.94,502.77,502.77,ATR-based,1,497.96,497.96,465.86,-6.4,546.11,9.7,578.21,36.92,43.34,1.17,21,RISK_OFF,1040660,2.2,CONSIDER
KFRC,Kforce Inc,Industrials,XLI,57.21666125729955,58.13,2.33,56.97,58.83,58.83,ATR-based,11,639.43,58.13,53.47,-8.0,65.12,12.0,69.78,58.95,69.2,1.17,21,RISK_OFF,482995,2.4,CONSIDER
NSC,Norfolk Southern Corp,Industrials,XLI,57.21666125729955,343.35,7.66,339.52,345.65,345.65,ATR-based,1,343.35,343.35,328.03,-4.5,366.33,6.7,381.65,17.62,20.68,1.17,21,RISK_OFF,1842525,2.71,CONSIDER
