ticker,total_trades,winning_trades,losing_trades,win_rate,avg_win,avg_loss,avg_win_pct,avg_loss_pct,profit_factor,total_return,max_drawdown,sharpe_ratio,avg_holding_days,best_trade,worst_trade,strategy
BTC-USD,95,55,40,57.89473684210527,6565.8290246836505,-5684.046275156434,11.531157296933294,-7.386053982600674,1.5883077779291221,1337.5874535134337,-59.12886541153082,1.0973445149330558,12.221052631578948,34.53387583463488,-14.77636877329962,"BTC Trend (Buy>58, Sell<38)"
BTC-USD,118,64,54,54.23728813559322,6179.748381524139,-4921.279898469308,10.953219606531334,-6.718992173680791,1.4882604487163194,1297.5478190020222,-50.41938006742516,1.0375097002866447,11.864406779661017,34.533875834634856,-14.244699300279496,"BTC Trend (Buy>52, Sell<45)"
BTC-USD,122,56,66,45.90163934426229,5446.8373507666865,-3138.180286691152,11.759338520580874,-5.338863096166593,1.4726875265537358,979.0299272131849,-54.90542256908215,0.9924195899803662,9.729508196721312,29.833125349618083,-14.635463211699074,BTC MA Position
BTC-USD,107,46,61,42.99065420560748,5416.578316684421,-2484.4705987385046,12.17770617360214,-4.352777123520266,1.644065673809591,976.0989604443454,-56.60999733402118,1.0593038339968381,8.63551401869159,33.67420720499818,-13.676753074235348,BTC Multi-Factor
BTC-USD,67,37,30,55.223880597014926,4194.64979893967,-2767.886518197614,12.078156092736528,-6.278165087508157,1.8690800308030922,721.6544701483937,-53.13515377923361,1.0410913291189856,11.298507462686567,33.67420720499818,-14.61716347835561,BTC Momentum + Volume
BTC-USD,111,61,50,54.95495495495496,3761.7639378357567,-3324.707297499042,10.659962043955016,-7.563722101790734,1.3803777576485876,632.3223533302904,-60.713565298246955,0.8334661603867413,12.17117117117117,34.53387583463488,-16.583108343997864,"BTC Trend (Buy>55, Sell<40)"
BTC-USD,57,32,25,56.14035087719298,2633.5434717528337,-1875.00448293927,10.757860381459762,-6.247239807710591,1.7978280449544979,373.9827902260894,-27.399185227949758,0.9029603522415393,10.912280701754385,31.26816523409166,-14.776368773299609,BTC Volatility Breakout
BTC-USD,96,47,49,48.95833333333333,2651.0873552882204,-1820.810859686189,9.166565163157173,-4.824386827068856,1.396564445233953,354.268003742974,-42.71418390337341,0.8127050186299914,8.8125,31.26816523409166,-14.443071181644152,BTC Dominance
BTC-USD,23,12,11,52.17391304347826,687.8464817288723,-885.4212977177827,10.989682257285873,-11.079996481592355,0.8474812860295964,-14.854764941491428,-45.72858505110865,0.06580721996156584,11.26086956521739,28.822404357852815,-37.39179665381697,"BTC Mean Reversion (Buy<30, Sell>70)"
BTC-USD,12,7,5,58.333333333333336,513.0649753545337,-1155.2249728973652,7.466460742459218,-12.130715651779374,0.6217758292524056,-21.846700370050907,-38.87740999089439,-0.011486480202053298,12.166666666666666,28.822404357852815,-38.81622621711149,"BTC Mean Reversion (Buy<25, Sell>75)"
BTC-USD,78,44,34,56.41025641025641,648.7173548425948,-926.1305726995718,6.101626271425922,-8.129876578912977,0.906477554680029,-29.37813672383657,-61.65772460026188,-0.05682609500040933,8.615384615384615,17.77014497615712,-17.212327585328214,BTC RSI Combo
