date,ticker,sector,price,mom_5d,mom_20d,mom_60d,score,rank
2025-12-29,XLF,Financials,55.34000015258789,0.03615411763195908,4.131659240901642,3.375678001990834,2.903007703920737,1
2025-12-29,XLC,Communication Services,117.88999938964844,1.0543422672106173,2.497314699328901,1.6166782035956118,2.0644229696934158,2
2025-12-29,XLB,Materials,45.7400016784668,0.1532811743554685,2.854835361470487,2.3283180755720334,2.0443691053359814,3
2025-12-29,XLI,Industrials,156.8699951171875,-0.11461823054597087,2.4186857581425913,1.9411151731905774,1.6586945615360227,4
2025-12-29,XLK,Technology,145.8699951171875,0.4891095599107276,2.0831845024049445,2.6209976303126714,1.6049620196566794,5
2025-12-29,XLY,Consumer Discretionary,120.8499984741211,-1.2179155700269173,2.418583792194906,1.8157730508014724,1.327633983528359,6
2025-12-29,XLE,Energy,44.619998931884766,0.9273916668234294,-0.49672248737075986,1.2267557423935038,-0.06948824111250307,7
2025-12-29,XLP,Consumer Staples,78.27999877929688,0.5136126604849744,-0.5820615060268541,1.1252349167388376,-0.25335925607330556,8
2025-12-29,XLV,Healthcare,155.80999755859375,0.328393108058056,-0.7462718483972508,8.04688213407736,-0.42387236146065876,9
2025-12-29,XLRE,Real Estate,40.630001068115234,1.0948058134887306,-1.4301767034555213,-2.390584622140912,-0.6726819483722457,10
2025-12-29,XLU,Utilities,42.86000061035156,0.9182938037174404,-4.709033484890368,-2.8656029179676024,-3.020835298308025,11
